,author,org,google_link,n_citation
0,Christopher D Manning,"Professor of Computer Science and Linguistics, Stanford University",https://scholar.google.com/citations?hl=en&user=1zmDOdwAAAAJ,239366
1,Riccardo Di Sipio,Ceridian HCM Inc.,https://scholar.google.com/citations?hl=en&user=FX5AyXoAAAAJ,199603
2,Richard Socher,you.com,https://scholar.google.com/citations?hl=en&user=FaOcyfMAAAAJ,170852
3,Sara Borroni,Data Scientist at Pangea Formazione Srl,https://scholar.google.com/citations?hl=en&user=PGEep1MAAAAJ,157802
4,Tomas Mikolov,"Senior Researcher, CIIRC CTU",https://scholar.google.com/citations?hl=en&user=oBu8kMMAAAAJ,156666
5,Jian Wu,Microsoft Corp,https://scholar.google.com/citations?hl=en&user=CP46e2MAAAAJ,122240
6,Jason Weston,Meta,https://scholar.google.com/citations?hl=en&user=lMkTx0EAAAAJ,118678
7,Kenton Lee,Google DeepMind,https://scholar.google.com/citations?hl=en&user=qXwJkr8AAAAJ,117385
8,Kristina Toutanova,Google DeepMind,https://scholar.google.com/citations?hl=en&user=9qY7NPEAAAAJ,111194
9,Ming-Wei Chang,Google Deepmind,https://scholar.google.com/citations?hl=en&user=GiCqMFkAAAAJ,106332
10,Wei Wang,"Leonard Kleinrock Professor in Computer Science, UCLA",https://scholar.google.com/citations?hl=en&user=08CVzE8AAAAJ,104795
11,Othmane Rifki,Spectrum Labs,https://scholar.google.com/citations?hl=en&user=yDs7dQkAAAAJ,104035
12,Andrew McCallum,"Distinguished Professor of Computer Science, University of Massachusetts Amherst",https://scholar.google.com/citations?hl=en&user=yILa1y0AAAAJ,101750
13,Kevin Murphy,"Research Scientist, Google",https://scholar.google.com/citations?hl=en&user=MxxZkEcAAAAJ,100601
14,Bing Liu,"Distinguished Professor, University of Illinois at Chicago",https://scholar.google.com/citations?hl=en&user=Kt1bjZoAAAAJ,98299
15,Luke Zettlemoyer,University of Washington; Meta,https://scholar.google.com/citations?hl=en&user=UjpbO6IAAAAJ,92268
16,Peter Prettenhofer,DataRobot,https://scholar.google.com/citations?hl=en&user=LqEn5w4AAAAJ,91684
17,Alexandre Passos,OpenAI,https://scholar.google.com/citations?hl=en&user=P3ER6nYAAAAJ,89740
18,Zhifeng Chen,Google Inc.,https://scholar.google.com/citations?hl=en&user=EemUE4gAAAAJ,86925
19,Phillip Killewald,Mathematica Policy Research,https://scholar.google.com/citations?hl=en&user=VFjvIcgAAAAJ,76222
